cif_id,true_labels,predictions
293-3_oxalate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.09326531 0.26959786 0.255      0.16666667 0.36531063]
28_1478358_t2-_240k,[0.89795918 0.         0.         0.         0.00896057],[0.14591837 0.47380697 0.025      0.16666667 0.59356033]
98_1938466_complex2,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.17244898 0.51324397 0.29       0.20333333 0.31887097]
180_hof-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.10367347 0.41410188 0.22       0.165      0.41376344]
187_2d-ms,[0.12244898 0.74262735 0.         0.5        0.7479092 ],[0.27836735 0.38190349 0.095      0.2        0.3463859 ]
263-bptca-2_hklf5,[0.         0.54423592 0.         0.16666667 0.70728793],[0.31163265 0.46962466 0.2        0.14333333 0.40375747]
36_1566037_imp-19,[0.         0.54423592 0.         0.16666667 0.70728793],[0.22632653 0.35469169 0.205      0.18666667 0.58334528]
45_1555044_1d,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.35408163 0.2724933  0.255      0.07666667 0.23934886]
13-2d1_mebz,[0.75510204 0.         0.         0.         0.45400239],[0.29204082 0.35241287 0.05       0.175      0.84494026]
37_1541092-viii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.08387755 0.09847185 0.36       0.17       0.48015532]
168_2087504_hof-30,[0.3877551  0.54155496 0.5        0.16666667 0.49641577],[0.20530612 0.64088472 0.44       0.22166667 0.31538829]
160_2056902_tpe2bpy,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10714286 0.38453083 0.175      0.21333333 0.55484468]
187_3d-thf-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.32571429 0.2950134  0.01       0.18166667 0.24938471]
135_2035078_pfc-42,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.17959184 0.53857909 0.245      0.17833333 0.42755675]
253-hof-fju-46,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.20428571 0.45394102 0.22       0.16166667 0.44154719]
168_2087501_hof-30m,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.24612245 0.55399464 0.47       0.16833333 0.26993429]
37_1541091-vii,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.13857143 0.14941019 0.25       0.16166667 0.38071087]
84_1867932_6,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.1655102  0.51790885 0.435      0.27666667 0.27091995]
118_1991981_pentamof-1,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.1755102  0.48563003 0.255      0.185      0.45248507]
40_1510310_hoifs-3,[0.51020408 0.         0.         0.         0.13560335],[0.24326531 0.3750134  0.145      0.115      0.40057348]
2_g2cbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10836735 0.38252011 0.48       0.165      0.25111111]
102_1970869_85dmso2c6h6,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.15673469 0.84855228 0.095      0.25       0.65084827]
189_2038905_cpdc-1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.16306122 0.24922252 0.125      0.16       0.51609916]
119_1974671_dy-hhfs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.24163265 0.37967828 0.23       0.495      0.52314217]
42_1579887_phtcz-3,[0.67346939 0.         0.         0.         0.15890084],[0.18142857 0.52327078 0.43       0.155      0.33781959]
187_3d-p-benzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.26918367 0.2713941  0.03       0.165      0.21872162]
29_1529718_hof-9,[0.08163265 0.97319035 0.         0.33333333 0.9223417 ],[0.10959184 0.54986595 0.195      0.18166667 0.39099164]
2172216825mep-hof,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.15836735 0.35       0.09       0.17       0.43317204]
42_1579889_phtcz-1,[0.51020408 0.         0.         0.         0.13560335],[0.21612245 0.43648794 0.275      0.135      0.37778375]
263-bptca-2,[0.         0.54423592 0.         0.16666667 0.70728793],[0.3055102  0.5238874  0.155      0.21166667 0.34592593]
104_1857375_1,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.20306122 0.30321716 0.155      0.13166667 0.50039427]
270-fju-57,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.16836735 0.46764075 0.17       0.16166667 0.4623178 ]
32_1540572_cphat-1a,[0.         0.54423592 0.         0.16666667 0.70728793],[0.08285714 0.46115282 0.235      0.17666667 0.58980884]
38_1578416-tpme-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.19428571 0.54906166 0.095      0.21333333 0.41848865]
160_2056901_tpe2tp,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10489796 0.3616622  0.325      0.16666667 0.37348865]
293-1biphenyldicarboxylate,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.10326531 0.20659517 0.315      0.16833333 0.40462963]
263-tptca-1,[0.         0.54423592 0.         0.16666667 0.70728793],[0.52959184 0.21839142 0.08       0.08333333 0.12783154]
58_1841048_-tmahac,[0.16326531 1.         0.5        0.33333333 0.49880526],[0.28081633 0.33276139 0.135      0.15166667 0.20149343]
84_1867936_10,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.18938776 0.51790885 0.355      0.17166667 0.36251493]
11_1010353_hof-4,[0.         0.54423592 0.         0.16666667 0.70728793],[0.09020408 0.50487936 0.225      0.16666667 0.48968937]
192hof-hapcp,[0.18367347 0.45844504 0.         0.16666667 0.12843489],[0.31367347 0.38359249 0.195      0.13       0.43302867]
157_2078751_hof-16-ethanol,[0.18367347 0.54155496 0.5        0.16666667 0.26105137],[0.13734694 0.56707775 0.42       0.20333333 0.25847073]
258-hof-lifm-8,[0.         0.54423592 0.         0.16666667 0.70728793],[0.11346939 0.51495979 0.115      0.15       0.35595579]
37_1541085-i,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.0655102  0.22335121 0.2        0.195      0.55107527]
2_g234tmbs,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.10204082 0.44002681 0.5        0.16666667 0.20316607]
187_3d-thiophene-pbenzoquinone,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.29428571 0.30621984 0.075      0.14166667 0.33039427]
98_1938465_complex1,[0.10204082 0.54155496 0.5        0.16666667 0.1786141 ],[0.16244898 0.44624665 0.285      0.21       0.35900836]
10-sof-7,[0.         0.54423592 0.         0.16666667 0.70728793],[0.1955102  0.48785523 0.165      0.14333333 0.59242533]
36_1566036_imp-18,[0.         0.54423592 0.         0.16666667 0.70728793],[0.28530612 0.52072386 0.205      0.22833333 0.57251493]
162_2076399_pycalow-a,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.18183673 0.55823056 0.05       0.165      0.32264636]
54_1857527_py6mes25thf,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.19918367 0.47533512 0.255      0.25       0.40505974]
79_1890648_hof-fe,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.18897959 0.34168901 0.325      0.19166667 0.38055556]
141_2027045_hof-nf,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.18510204 0.66946381 0.17       0.20166667 0.57605137]
75_1889092_1a6pf6,[0.26530612 0.54155496 0.5        0.16666667 0.28554361],[0.15734694 0.54664879 0.055      0.17833333 0.32883513]
73_1908805_hcof-4,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.15530612 0.61522788 0.025      0.18833333 0.48775986]
187_3d-benzene,[0.30612245 0.24664879 0.         0.16666667 0.18757467],[0.31       0.24461126 0.02       0.15333333 0.20775388]
87_1902587_tcpp-2dmf,[0.         0.54423592 0.         0.16666667 0.70728793],[0.06       0.47648794 0.105      0.16666667 0.59022103]
73_1910292_p7,[0.20408163 0.63806971 0.         0.16666667 0.28076464],[0.17408163 0.63136729 0.015      0.17666667 0.3755675 ]
186_pfc-71,[0.         0.54423592 0.         0.16666667 0.70728793],[0.08040816 0.40887399 0.215      0.165      0.42634409]
62_1877481_cphatn-1tcb,[0.10204082 0.54423592 0.         0.16666667 1.        ],[0.12489796 0.52101877 0.08       0.165      0.57345878]
95_1865242_pethof-2,[0.3877551  0.24664879 0.         0.16666667 0.        ],[0.0922449  0.3997319  0.1        0.16166667 0.59289725]
254-exp_485,[0.         0.54423592 0.         0.16666667 0.70728793],[0.13510204 0.51396783 0.22       0.13166667 0.39126643]
37_1541098-xiv,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.08918367 0.11474531 0.23       0.17       0.49755078]
258-hof-lifm-6,[0.         0.54423592 0.         0.16666667 0.70728793],[0.09204082 0.51434316 0.105      0.16666667 0.36835125]
78_1576305_1,[0.10204082 0.02680965 0.5        0.16666667 0.390681  ],[0.09306122 0.71117962 0.26       0.18833333 0.55391876]
13-2a_ref_h,[0.         0.54423592 0.         0.16666667 0.70728793],[0.0544898  0.42764075 0.015      0.165      0.64878136]
